,img_path,mask_path,kfold
0,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150921_131346_image1011.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150921_131346_image1011.png,0
1,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150921_131346_image151.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150921_131346_image151.png,0
2,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150921_131453_image966.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150921_131453_image966.png,0
3,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150921_131234_image566.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150921_131234_image566.png,0
4,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150921_131833_image111.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150921_131833_image111.png,0
5,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150919_174730_image631.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150919_174730_image631.png,0
6,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150919_174730_image396.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150919_174730_image396.png,0
7,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150921_132038_image121.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150921_132038_image121.png,0
8,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150921_131453_image231.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150921_131453_image231.png,0
9,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150919_174730_image341.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150919_174730_image341.png,0
10,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150921_131729_image556.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150921_131729_image556.png,0
11,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150919_174151_image161.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150919_174151_image161.png,0
12,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/images/20150921_131346_image541.png,/Users/sagar/Desktop/Ace/MiniapplesSegmentation/detection/train/masks/20150921_131346_image541.png,0
